Date,priceUSD,size,sentbyaddress,transactions,mining_profitability,sentinusd,transactionfees,median_transaction_fee,confirmationtime,marketcap,transactionvalue,mediantransactionvalue,tweets,google_trends,fee_to_reward,activeaddresses,top100cap
4/9/2014,447.11,243742,122401,64992,38.678,239212041,0.139,0.0447,8.944,5587996110,4115,100.42,8193,11.193,0.502,179274,19.211
4/10/2014,407.703,254334,124298,67872,31.917,310367120,0.0864,0.0408,9.29,5020359905,4876,120.946,15039,13.854,0.371,182996,19.166
4/11/2014,403.328,223656,117926,65563,36.814,292756343,0.0858,0.0403,8.521,5068919648,4819,108.481,14907,12.997,0.33,169622,19.141
4/12/2014,425.31,169964,87828,47579,34.498,157264741,0.0811,0.0425,8.944,5329088351,3574,84.408,7582,9.229,0.226,132283,19.145
4/13/2014,415.876,162260,94828,50981,34.141,154756367,0.084,0.0416,7.701,5150414718,3332,69.681,10674,10.385,0.221,172708,19.131
4/14/2014,445.898,216048,127969,70026,37.973,253143718,0.0977,0.0446,7.461,5628122040,3990,115.249,13266,10.754,0.318,183291,19.146
4/15/2014,487.666,241539,123107,72627,38.65,293892234,0.111,0.0488,7.912,6170470953,4479,123.089,14835,11.053,0.362,199054,19.124
4/16/2014,517.354,270984,114312,68435,40.201,389249585,0.108,0.0517,9.057,6496569317,6046,129.799,15790,12.189,0.359,185075,19.146
4/17/2014,505.461,223631,102596,65021,40.706,385378002,0.117,0.0505,8.521,6281237538,6384,102.416,15215,11.471,0.355,157751,19.092
4/18/2014,485.296,205478,100633,56836,35.818,360602878,0.104,0.0485,9,5972292967,6461,107.713,14028,9.946,0.304,149452,19.054
4/19/2014,490.961,193237,93159,53356,34.435,208459964,0.116,0.0491,9.057,6132827987,4168,84.763,12337,9.389,0.317,141149,19.054
4/20/2014,501.271,169511,88713,48865,38.56,196288922,0.111,0.0501,8.09,6234226740,4180,87.891,12139,8.511,0.244,164288,19.046
4/21/2014,498.97,190616,93895,57939,34.316,340647125,0.107,0.0499,8.421,6201738943,6198,83.943,14244,9.159,0.292,142367,19.04
4/22/2014,491.704,288040,125522,77888,33.61,412597054,0.0966,0.0492,9.351,6097607345,5470,88.093,16098,9.319,0.396,183641,18.996
4/23/2014,486.543,241953,103825,73789,34.897,301525635,0.096,0.0487,8.727,6041607759,4459,63.8,16232,10.176,0.353,156727,19.186
4/24/2014,487.399,279755,103639,72543,32.911,187824879,0.1,0.0487,9.536,6091264792,2944,83.931,15471,9.967,0.395,168337,19.216
4/25/2014,464.777,226597,116925,72468,38.655,238365713,0.0875,0.0465,7.912,5753179561,3466,73.07,15255,9.458,0.3,181970,19.187
4/26/2014,456.496,179961,87285,52012,30.409,139566626,0.0802,0.0456,8.834,5654966188,2902,77.477,12283,8.142,0.224,135298,19.179
4/27/2014,450.932,180924,85171,52452,34.548,121603221,0.101,0.0451,8.136,5569104074,2526,65.825,11667,8.601,0.266,171950,19.182
4/28/2014,435.888,238892,111451,64394,28.393,224460196,0.0866,0.0436,9.474,5399609103,3827,88.369,15969,9.319,0.336,167559,19.215
4/29/2014,443.354,227145,110736,64886,34.459,222912073,0.0862,0.0443,8.421,5520546811,3811,80.982,16706,8.581,0.295,169787,19.135
4/30/2014,444.261,270251,109507,63501,23.949,186710324,0.0906,0.0444,10.511,5554456253,3343,96.06,17588,9.688,0.378,166103,19.131
5/1/2014,453.541,191897,101423,59482,33.477,182138012,0.0827,0.0454,8.182,5668431501,3336,81.519,16988,9.341,0.247,154675,19.153
5/2/2014,448.574,211466,92605,59820,26.193,276721842,0.0891,0.0449,8.944,5541344199,4774,71.922,20057,7.947,0.295,143742,19.088
5/3/2014,439.48,203445,70902,54015,25.963,227139061,0.0837,0.0439,10.141,5445149743,4454,59.135,12910,7.389,0.29,117096,19.086
5/4/2014,434.535,201481,73760,51618,27.769,171345329,0.0832,0.0435,9.536,5447944581,3529,61.051,12716,7.25,0.262,156696,19.094
5/5/2014,431.727,298957,96210,67638,25.148,252136525,0.0864,0.0432,11.52,5415153789,4084,72.659,21273,9.202,0.432,148135,19.107
5/6/2014,427.341,219138,110414,77034,32.203,273604903,0.0832,0.0427,7.423,5355521272,3738,74.424,16806,8.644,0.309,168404,19.113
5/7/2014,435.189,244147,109160,69666,24.362,334885800,0.0846,0.0435,9.057,5429290416,5144,82.079,16970,8.226,0.34,161847,19.103
5/8/2014,440.75,231193,111716,68770,28.806,564322575,0.0871,0.0441,8.623,5498894595,8450,73.486,21518,8.086,0.325,166794,19.141
5/9/2014,443.871,217006,105816,66123,28.392,538973426,0.105,0.0444,8.471,5562247779,8264,78.103,17442,9.202,0.366,163287,19.13
5/10/2014,449.566,170673,88498,56237,29.304,283084053,0.0807,0.045,8.045,5631944358,5322,61.765,14225,6.971,0.226,135616,19.134
5/11/2014,442.545,217898,81152,52438,24.482,185495914,0.0819,0.0443,9.474,5549660308,3707,55.039,13469,7.111,0.255,165515,19.136
5/12/2014,438.129,256510,98608,74254,28.153,221368625,0.0822,0.0438,8.78,5524900102,3210,71.054,15910,7.25,0.339,154800,19.125
5/13/2014,437.341,231737,95943,69195,24.27,278255482,0.0782,0.0437,8.889,5524890468,4227,76.029,16935,8.365,0.305,149516,19.115
5/14/2014,441.538,263230,106493,69658,24.358,290728808,0.0766,0.0442,9.6,5560925919,4541,74.131,18167,8.086,0.322,160924,19.122
5/15/2014,445.787,247251,119331,74722,26.216,327736411,0.0764,0.0446,8.421,5603299704,4846,63.165,32817,7.668,0.299,177032,19.138
5/16/2014,444.766,209941,93719,65181,26.235,270222734,0.0793,0.0445,8,5603688273,4357,79.002,14474,8.784,0.257,155531,19.151
5/17/2014,446.281,188935,84987,53338,24.313,203239320,0.0779,0.0446,8.324,5611649892,3989,69.196,14587,7.529,0.215,148446,19.147
5/18/2014,445.298,185382,90629,49740,26.472,110697064,0.078,0.0445,8.372,5618682983,2386,67.876,12892,7.25,0.203,177716,19.152
5/19/2014,445.022,240557,107520,63926,25.001,217637354,0.0794,0.0445,8.571,5617575263,3620,92.427,13595,7.529,0.272,185595,19.151
5/20/2014,465.278,248862,127179,71343,25.752,670978102,0.0873,0.0465,8.136,5813232062,9538,109.502,21515,8.784,0.302,191122,19.144
5/21/2014,492.31,236716,101327,68730,28.475,327214160,0.0917,0.0492,8.229,6166368202,5053,113.513,20254,9.202,0.292,157967,19.145
5/22/2014,509.156,244693,108351,73171,28.551,364062841,0.0888,0.0509,8.372,6421140426,5282,108.972,20217,9.76,0.297,163160,19.152
5/23/2014,529.149,250943,120105,72645,30.066,611921602,0.0927,0.0529,8.727,6680473203,8939,123.206,19485,9.062,0.308,176498,19.131
5/24/2014,519.347,192842,77546,52718,25.554,458552496,0.111,0.0519,9.351,6543569667,8843,97.066,13630,7.947,0.292,125130,19.8
